Accession	Gene ID	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F4: Sample, rbohC Cd	Abundances (Normalized): F5: Sample, rbohC Cd	Abundances (Normalized): F6: Sample, rbohC Cd	Abundance Ratio (log2): (rbohC Cd) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohC Cd) / (rbohC C)
Q39079	AT2G35720	32481919.5612086	29012339.0434844	24378170.6946785	66267579.7159774	44653495.6511442	71773502.418764	1.19	0.000169674004132
F4JN13	AT4G35450	1077507.56208892	383758.308635696	7996104.36403492	542135.34391542	7456760.33293001	5062655.01299165	2.23	0.000175696639614
Q84TE2	AT4G33120	34130515.3023238	27875728.1781023	44906865.2622091	13884190.7917965	21126100.7604483	8099855.57022952	-1.3	0.000177917057804
Q9FE79	AT5G47960	124410023.077935	114680064.859695	53261676.7143578	148226971.298503	55297483.9784091	55209849.4950989	-1.05	0.000205645495983
P0CW98	AT1G58320	234107.774321765	1699365.47825804	240123.798217847	2738089.7178962	1593862.69654062	0	3.12	0.000206985195502
Q3MK94	AT3G03950	59139428.0129724	8434072.87743608	44446822.901054	19381699.8195567	8285747.57239796	32229048.5673576	-1.2	0.000209598936801
O80695	AT1G61890	99402.9634599151	105438.618563127	798238.776164083	854646.077493133	911595.416255043	1137961.98781111	3.11	0.000254332781458
Q9FGT3		3042380.4949547	3866515.00115233	327005.547061496	270509.390315977	1041215.93517954	0	-2.52	0.00026404438975
Q9SUT2	AT4G11290	27352827.2377771	18760338.9259474	15822381.8951233	95585890.1484769	35912391.4632395	46705504.8306611	1.32	0.000286436795029
Q9XI91	AT1G13950	279781.303736433	470346.097972596	1640639.66138701	2647294.55046421	2548477.16745287	2816815.37443461	2.49	0.000347442732737
F4K124	AT5G19280	7106791.63879898	7383523.05007298	6583033.88303557	3643523.42674784	1688962.90333443	654538.595308202	-2.07	0.000361939451872
Q9ZW09	AT2G29220	13172216.3971848	71149892.0873835	18241121.8890503	101359956.50371	45471911.6882734	21759298.0255395	1.32	0.000377277818885
Q93WF1	AT5G48900	1336064.84580172	915614.511996801	527880.296739404	0	141011.097063827	80169.8505188972	-3.11	0.000439247270329
Q1H595	AT1G03330	10331670.1633919	10600743.3044907	19274410.0720669	27953945.9876822	27034145.3153598	19766553.5729202	1.35	0.000459529836269
Q9SAH5	AT1G80860	1386154.54930047	42535753.4378314	722122.439185106	6298450.230363	39978549.9431985	709008.838609821	2.18	0.000480920572343
Q41188	AT4G38680	48370175.0254955	23680357.0880928	25583930.1827618	59731487.4861551	65708479.1318315	11439055.7144605	1.22	0.00050854108412
Q9M173	AT3G45700	1416718.99409934	2371089.47383977	3630454.59573137	441306.323520396	76778910.3547096	285568.592535725	-2.43	0.000619192798259
Q9XID0	AT1G34260	1113640.51473327	974530.453029694	2188946.05316333	14336489.8086966	4633454.1208361	146464.37138811	2.06	0.000656625961568
Q94K76	AT5G18470	1992044.75173253	1762466.89616958	920301.397297655	7267883.17787923	11824453.5011929	1287661.64268629	2.04	0.000659663847518
Q9SHZ5	AT2G22100	5177000.82943789	2903876.92515141	4392505.63047713	245224.999488231	1691572.56323292	1162380.61841939	-1.92	0.000670640066925
A0A219HZH3	AT5G46110	425839.194116113	2892083.18090861	501452.145392972	2277138.49687221	2772839.95907546	4886345.68410234	2.47	0.000686633314297
P93043	AT1G08190	42852480.8045481	46466721.1406139	48314938.0988413	99349277.2124276	108696002.274853	42426899.9302516	1.1	0.000742467685275
Q8W4J9	AT5G43470	453102.270404874	1342130.67279735	2160006.71573093	149661.428710002	573353.150199452	84414.6898367938	-3.16	0.000770157522757
O81488	AT5G26210	12435888.8563968	10070846.8954065	10788345.1119519	3235807.47195769	9715564.21846271	2747847.66884118	-1.74	0.000915638318306
Q9LMA1	AT1G19250	724533.886533013	539814.171365704	327237.918362577	4298630.71523686	2954562.67150909	1564721.39457382	2.45	0.000995559737308
Q9FJB5	AT5G35450	15436585.1191221	15674534.1677559	7029465.07053287	11702168.1702353	5556481.88329896	4749806.16560233	-1.47	0.001115944992997
F4KDD7	AT5G51795	374682.859348297	329633.098865886	146503.135290271	0	0	48135.0591368759	-2.78	0.001116117868508
Q501E6	AT5G25250	4154326.5068112	13387427.6010285	6701136.09372308	25179356.4069133	19470576.2902591	11018772.5303214	1.54	0.001118871544791
Q9M339	AT3G53870	315506027.330997	318504406.283887	216429521.645275	290674190.490889	159235693.144854	164362501.528176	-0.94	0.001153123181926
Q9C5M8	AT4G24780	6038098.38382293	5669719.22535116	4403631.68252791	971810.593683468	3157178.52282916	1608651.27673465	-1.82	0.00119238270455
F4K3X8	AT5G06670	113139727.849409	80266289.4438365	74566960.2862678	176688890.738475	95502382.1479291	166328878.749355	1.05	0.00119238270455
F4I7P0	AT1G23935	9457316.13333192	4233587.41910899	3349585.10637917	1035410.85275532	1094594.16311054	303090.780164353	-2.03	0.001220509604367
P92949	AT1G01580	48312285.6073323	76235206.9240009	163582000.966739	27976865.1107441	38143011.5316446	58388855.6300626	-1	0.001279176945607
Q06588	AT1G05010	488169.484358621	125175.048974872	110530.769980249	2989306.03732895	1112993.35391354	976261.867887903	3.15	0.001311166360261
Q9SXC0		7535775.64116735	9969759.00764564	6570376.22384549	19581111.7150227	19501981.4722913	16919644.0284298	1.37	0.001373329082126
B9DFU2	AT2G26170	1063584.28043383	689922.986732221	303062.311513807	2302345.35039196	5449738.21379445	3412760.39959233	2.31	0.001512752399255
Q7G193	AT5G20960	42847198.0065824	54382380.5492051	38036365.4316752	55525270.2583174	82668272.4417358	230135887.201347	0.95	0.001554304676512
Q9SZJ5	AT4G37930	34756667.8138654	31589708.3707039	27777927.3206429	42496149.6657084	146066204.640126	65329726.7825867	1.05	0.001644841760128
O48520	AT2G42120	300391.159963588	2403944.81006917	101669.222176632	0	0	46597.9320032946	-2.69	0.001698871056734
Q8W4S6	AT5G11920	5731535.2980643	23218937.5553643	21295923.0167076	10875072.9303406	5844240.33738415	8613091.22386005	-1.31	0.001748025655981
Q0WVJ5	AT1G09850	42884905.3429822	50416346.3020379	46986497.1103196	95436796.7804001	134200972.062154	66704242.5255226	1.02	0.001748025655981
Q9CAI3	AT1G72680	777006.091394242	961156.000565983	874894.962057344	5212800.30859369	388510.545562071	4052026.33345318	2.21	0.001769470943051
F4JUL9	AT4G14147	2585273.44935587	2179129.17602672	254200.043771128	9581190.98383743	8101721.99397624	2145461.98445574	1.89	0.001880097250907
