Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
Q8W110	AT5G23980	4358177.89439324	3808603.04302289	6091292.07183015	10238512.9113579	11648596.5963606	24120631.9276942	1.42	0.042532382630722
Q9SDM9	AT3G16400	14002027.0735187	18367625.5056041	16258561.0917139	27335105.376377	38232975.957758	59298207.9762627	1.23	0.042648784954982
Q9LK64	AT3G13080	39974654.6280334	43081116.6117775	49802856.5888718	78634074.654054	93655111.9559778	95244968.5087772	1.12	0.042770243357428
F4IUJ7	AT2G26410	4657052.26131459	3514644.49262373	3120126.34236572	522748.627643464	4888756.42203226	1033905.64903095	-1.77	0.042978925828463
Q96520	AT1G71695	6789430.82279293	13998467.2230374	10099830.9965943	17750779.8261886	46229939.1226806	24693740.6170759	1.29	0.043672784478511
O22718	AT1G60810	6373026.13408534	7797803.01310749	12942377.3544998	2712726.99125606	7202057.38983282	2518169.21930564	-1.52	0.043998193887898
F4J4N3	AT3G58090	23105113.7534489	28304009.677992	21217896.9874633	16249547.6194344	10963049.3642533	8610250.14264228	-1.08	0.04445797746202
Q8LB54	AT2G40650	51658294.486487	41585441.9887364	46255456.3347523	25557394.9279155	15989722.3457137	29552880.7051764	-0.86	0.044971060412315
Q9LFV3	AT5G15730	7115717.49598359	55689335.9933275	13867446.0849838	14508022.2610254	42682442.6769313	32707206.9865464	1.24	0.045170270070601
Q84P17	AT1G55320	7908830.28324889	15013150.6926454	25859012.9416156	14473274.4097654	5799682.796669	5944181.53079356	-1.34	0.045189683296217
Q0WQH3	AT1G27100	10784071.3137901	8121179.27173743	11493889.1033483	30552888.3307244	8559660.9628613	26974439.5799871	1.32	0.045757150962149
Q0WNY5	AT4G31110	4288166.68790567	6300858.1210862	3489017.48461568	10086624.498123	11401764.2499893	11111771.944884	1.37	0.045886204167592
Q9LFR9		286258.001846578	158005.040927383	259197.628063593	498706.288158542	1910824.84385322	1102390.84951076	2.09	0.04594068518267
Q38893	AT3G04870	379312.212227079	442072.105536974	537273.627366532	2226068.86724387	1813162.18443652	591451.451274068	2.04	0.046389372957372
Q9FMA0	AT5G56320	27278746.5181749	49567317.1406969	18817475.0045504	14075447.0701018	13792609.0042426	9361590.60916966	-0.98	0.04706545562919
C0SUW7	AT1G20910	1311091.06217676	1596101.29980804	286138.480408013	435410.736438229	4688405.81921986	4264574.93741528	1.7	0.047726250625588
O23482	AT4G16370	194849.592801291	3003737.28045275	0	3750332.57893887	2466964.59779672	2909603.90350158	1.93	0.047836227063735
Q9SAF0	AT1G13170	240526.755795193	0	308676.977032683	1358464.14106247	1205546.50033342	178896.749004056	2.15	0.048021576614555
Q8RWM9	AT5G38380	121964.469425495	0	479956.444071049	224833.16407599	1130477.97391585	1062936.2957433	2.14	0.049803428840741
Q9LX13	AT5G10160	79072181.3463289	179070503.47109	305772834.014054	136207964.022312	325871265.362732	407229425.862459	0.86	0.049841927465326
Q84MC9	AT4G40042	3071353.03173639	2910403.79327391	3414757.95699821	9747986.81329273	9667915.09221043	10274357.8500578	1.67	0.050006469375236
Q9FLW0	AT5G24010	298050.964697569	667816.205239025	0	2589578.94018124	1818829.22432385	1220298.20604788	2.03	0.050069950791468
