Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
Q9LTT3	AT3G13350	5879064.30072006	3704892.13567563	6535080.11137369	1810430.72999122	1270786.05619576	1890317.96963578	-1.7	0.01001523429079
Q39100	AT5G46900	7143852.06014819	22484782.295707	8630857.55971041	2097240.85612271	6589628.65667525	2455379.93034475	-1.81	0.010046938133875
Q9SLK0	AT1G54340	10236095.2126475	1471483.72596825	2085193.86438735	7925412.83746258	11157706.0310719	9203648.08709284	2.14	0.01022825098185
Q9LTD8	AT5G52790	7001973.71930298	5670690.14566316	5013072.14820485	875706.968856964	4158075.23517927	1815030.74741864	-1.64	0.010286324992861
Q6R8G7	AT1G14040	80639125.1037319	54746066.8970246	60061656.1372387	143135413.429144	131166122.14177	176786507.572073	1.25	0.010461795738012
Q39034	AT5G19890	6868691.30322988	8326744.705978	14173621.9981893	22691853.3148983	14656696.6381955	30168489.2207178	1.45	0.010617579372133
Q1ECK0	AT1G03730	0	276857.159588337	515031.23617485	1981394.10885876	1025722.91323748	2675469.84858238	2.39	0.01070536446902
Q8S8P5	AT2G38470	1318896.88082936	3770967.95992855	1602560.49608529	2638011.72644524	6046841.70443321	9383764.57782966	1.92	0.01070536446902
Q9M3C8	AT3G55230	481636.013832571	389965.317168375	763221.510801506	160818.373585597	99421.7240724598	21826.6272748736	-2.28	0.010905236999919
O22224	AT2G41620	131301671.511128	124970211.363961	69823043.4192515	61255944.4957785	68328625.1678612	56873872.7653428	-1.03	0.01102491457721
A8MRY1	AT1G47570	433363.969203311	2205421.81650423	0	5391876.07119391	3995199.79711712	2260302.58029634	2.03	0.011132757110224
Q9M123		738477.26990596	731382.832471291	1505365.12239015	150670.182952447	154626.683316872	874878.843233162	-2.26	0.011314992936405
Q9FXB0	AT1G56580	20388606.7176422	13669434.4105462	18826085.8816585	5974355.2744178	9027062.24602323	12124800.1821719	-1.06	0.011430303178856
Q8VZK9	AT1G55850	40800561.4958446	66066940.7649552	43870684.4636432	105988910.06458	111499905.691208	107456798.492838	1.29	0.011574569837944
O64635	AT2G45550	6512254.79615773	6733630.91154694	16305950.2422653	18329797.8330364	9460750.4098549	24266354.2234371	1.44	0.011751254423569
O80866	AT2G31020	8238533.72712921	7728168.27098893	12761609.9045405	20969608.5126001	19548302.3407942	20439609.0262392	1.31	0.011798981583271
F4K4E3	AT5G27720	28669842.5975542	49073023.7647169	47940920.4518184	23230915.421262	37040531.8065233	23873163.8274069	-1.01	0.011820790867101
A0A1P8B9D5	AT5G66560	187949.27644295	113986.722892665	758367.796434846	982737.272943187	721231.687809827	1195884.57161956	2.39	0.011890846142092
Q8LEZ4	AT1G19520	175937002.951438	210775056.249965	188648832.19484	84926897.740445	108989501.208427	91496362.4074196	-1.04	0.012149312219652
F4JD91	AT3G07060	7783963.14671504	9842817.52889267	7458265.55667192	1218322.42867007	2150759.11838717	3483405.96174674	-1.86	0.012245281886069
Q9SFF6	AT3G05910	42696139.7874065	49364177.6356268	51854910.9341512	24443769.8510664	37407801.5698983	16310245.8625564	-1.01	0.012277995213719
Q9T019	AT4G11210	2554398.57112052	2167814.06169552	3929654.18657786	10081694.0324784	16725059.94445	8778935.08348681	1.98	0.012639565007177
Q9ZQH0	AT2G27490	8262419.56642251	10685260.8457704	8346414.74727824	17439265.8024554	21574290.8570018	24581811.0066857	1.37	0.012661523806287
Q9SAC9	AT1G10730	7810468.92845059	17728587.5902016	7116695.59288857	22788067.2853211	16001702.3869255	19444970.3529304	1.32	0.012661523806287
Q9CA59	AT1G74560	15904674.0002912	12393491.4109363	19911911.0384125	5487121.3096929	5772280.18775927	7186473.24845437	-1.46	0.012732960501642
Q8LAH7	AT1G76680	2374856.62582657	6509981.24827698	1733757.71128243	9802927.31371192	15427553.9037734	6913661.49624166	2.05	0.012755286883811
F4K6P2	AT5G07390	615434.352690731	2352502.29077159	826426.176995969	2271406.99112314	3653282.33197701	4516702.1927028	2.14	0.013126659730419
A0A1P8AYN1	AT2G22330	0	526117.946015024	1008765.17103004	3422176.61495536	3172659.00010801	3811623.76082007	2.23	0.013127334504392
F4I4K5	AT1G23010	4288117.36538139	3634094.30467708	10146191.3829045	1334875.84505841	659109.90683818	2251958.57631891	-1.68	0.013256866738508
Q8GY58	AT4G39000	0	634871.386685273	0	2805130.03247761	4000521.88573512	3031471.32315062	2.26	0.013339560467753
Q9SHH6	AT1G17170	1517251.34818824	3854677.9201479	1412116.70299995	5489083.01760263	6498573.19768541	2237971.17132787	1.86	0.013351247633675
O82656	AT1G71860	137939294.540944	113248148.856252	99508500.3436618	58351737.6220467	50535215.1993461	53520899.1505212	-1.08	0.013496674928626
Q9LUC6	AT3G14680	41194133.9447655	61725213.1751786	50022514.6028846	118333634.728339	97961358.0645694	124755186.951524	1.24	0.014014779624391
Q9SH31	AT1G63450	3217456.25228215	3791927.07603264	4428625.34150422	582687.843727965	1041252.84278545	1173573.04263198	-1.86	0.014255484614525
Q8S8Q6	AT2G23810	106342353.166609	123618298.644736	147381460.643253	257099596.973901	185573387.498758	281101648.781748	1.06	0.014513772722985
Q8GWB7	AT5G18480	95623710.3830318	109007510.474656	134501068.186312	203076352.234985	232678062.441426	250359613.84444	1.09	0.014650132796631
Q8GUK1	AT5G12290	17893787.4606026	22182283.7702224	28951723.8871697	35242436.2866507	51038815.6212282	55340755.0622058	1.2	0.014783831597165
Q39214	AT3G07040	4442547.19203468	20307646.4797518	9804512.67959092	3723659.9052788	4415820.44558425	2464481.97024994	-1.4	0.01482888807496
A0A1P8B6W3	AT4G31780	1091645.55192606	1190788.31499807	932707.901010333	0	235283.328834635	0	-2.21	0.015786179940559
A0A1P8ARJ0	AT1G60960	1882309.48691176	1915934.87070179	1651684.3437124	7624749.66056894	4895453.83775617	8408540.17037832	2.02	0.015819365921612
P02668		0	3635360.10693975	1827004.39337508	517538.625797867	818460.579665127	356726.33564805	-2.32	0.015956306326221
Q9FJY1		32021718.7868156	26520220.3734574	30288394.4118347	14450652.3994187	19019178.3467091	11604533.819288	-1.07	0.01647022050649
Q9FXB8		71121100.5573831	74442978.7288746	50040558.2955213	35640806.5413215	47872410.77484	37150181.1333394	-0.94	0.016596715697306
Q9LE15	AT1G14540	666301.704002957	160565.652717267	1194104.86037224	3118447.83940433	2540484.46309705	4609683.17956764	2.23	0.01661546785247
Q39141	AT2G34420	4873941.30360739	7946018.11809032	5791631.80024474	14610906.4401536	18857338.1321985	17279382.9606537	1.58	0.016743696019763
A0A1P8AMC6		558980.923719262	1752687.60355742	4852813.7253823	4761623.37653843	8328344.10657942	6539474.05611939	1.9	0.01718775248918
Q6NMS0	AT1G69920	3367555.00534082	4761852.69547447	4638101.53528606	16080179.9974253	25172080.6762858	8956118.35263277	1.79	0.017344583465021
P11832	AT1G77760	197328465.377249	35581649.1434684	51170152.3041684	31105468.4430335	25025545.3148038	26174377.9542608	-0.97	0.017557358035435
A0A1P8B2C7	AT2G27720	1898222.28319778	366354.760739271	322196.08031574	1842966.09459663	609778.567092936	1860238.1563474	2.33	0.017577977653394
O49394	AT4G31970	11384102.4002638	53884345.5357355	61578760.1341627	25453735.271913	37199335.9983876	27554752.5189347	-0.97	0.018061612842296
Q2V3L3	AT4G06634	390606.95127535	1333808.97602532	391913.875058367	1978925.5865888	1321338.85347919	1883998.95048354	2.27	0.018351263773311
Q66GR1	AT5G53090	4048094.98807826	25008884.1929158	13013948.3759025	3301550.86237381	10017057.0348993	4790560.59371117	-1.44	0.01837427640335
O04086	AT1G11050	2194062.30326221	4489788.69332288	2411481.2258222	9536533.83146928	8654095.43028801	12803627.4835865	1.98	0.019186767541367
Q9LZ25	AT5G04720	0	10934047.9278332	1424357.12250049	495063.495534678	8139777.46626611	1126819.75226297	-1.81	0.019259966958545
P56764	ATCG00170	29744372.6724901	20701327.8365888	24882235.8110568	61093050.7045319	31213301.2668723	57715341.7115285	1.21	0.019430896850674
Q9LEQ9		20836272.6717153	11134373.3005781	11602753.5878807	4289148.43475307	4618676.07826048	5142053.36339587	-1.33	0.019771521799076
Q9LM78	AT1G20760	30508945.8932291	50145799.8834527	78648917.1971789	59162620.2579774	10714688.9407772	25466533.6499262	-0.98	0.020561982959161
Q9FUS6	AT1G27130	8579901.56546044	5947213.07229286	14959493.1489537	18348940.315623	20991043.8414021	25262993.1302678	1.29	0.020586880420645
Q9FN75	AT5G17760	0	225257.428130025	0	949925.985096681	1162762.09281684	2499431.01821125	2.37	0.020663642028267
A0A1P8B5L5	AT4G15300	319928.403043297	440868.18262277	513760.845529734	442795.504778453	3052862.285426	2282744.12892909	2.37	0.020847242429312
