Accession	Gene ID	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Abundances (Normalized): F16: Sample, WT Cd	Abundances (Normalized): F17: Sample, WT Cd	Abundances (Normalized): F18: Sample, WT Cd	Abundance Ratio (log2): (WT Cd) / (WT C)	Abundance Ratio Adj. P-Value: (WT Cd) / (WT C)
Q9LM76	AT1G20780	78836192.2992929	126387418.767716	110457288.758443	45934957.78125	37353330.7441007	42896492.6601648	-1.36	0.002932118215904
Q9M314	AT3G61540	23366603.5454765	28972199.1830903	29284714.4701937	10382584.3125	10112944.2388317	9562907.52491492	-1.52	0.002956918304574
Q9SZV3	AT4G30000	1592993.03163754	8669048.7969032	9904885.74848731	1431699.125	2266073.87374727	1804539.5434007	-2.26	0.003015932800851
P11832	AT1G77760	83847899.0567607	68835458.3037339	184310939.600714	27653717.859375	31563727.4728755	42938420.3996332	-1.41	0.003056497764271
Q3EBD3	AT3G02065	8141293.07127823	25374256.5007873	23602475.2723	7602302.03125	6198277.41582096	10829419.0512336	-1.63	0.003118778406496
Q9SB33	AT4G25300	221105.467148084	0	0	2292252.375	2040482.67117626	1208715.50419579	3.21	0.003141152073126
F4IDB2	AT1G72390	707289.871941751	243257.308375625	255113.720385753	4300919.5	2056131.16403359	3167655.50607239	3.63	0.003176270056856
Q8VYA5	AT2G37340	20736715.8082384	22145914.5197984	19635266.5383691	6039517.96875	4791010.37895647	7935923.19090566	-1.78	0.003388163228917
Q0WW84	AT3G19130	11015372.41988	4499425.0294653	16754544.5438169	2630914.9375	1530940.72157798	8473538.82514137	-2.07	0.00345221644472
Q9FKS8	AT5G40780	122473346.786489	99831469.4905235	78385091.2241399	41957651.3164063	37652662.742583	36780572.2040906	-1.41	0.003763747069536
Q9SVV9	AT4G18120	60710.2601329721	0	0	593217.59375	601268.917991974	470700.761005316	3.29	0.003838364257292
Q9CAH5	AT1G72590	667331.079446467	0	450242.437598093	4364764.5	4278230.25655754	2233857.03833324	2.96	0.003894115261792
P93046	AT3G44990	21709738.1505038	25391622.456389	20218997.2729026	6338712.484375	4203769.3764383	14387973.5464103	-1.78	0.003903777856674
Q6NMS0	AT1G69920	3222367.46263957	2264571.2647936	3248548.60899684	13690009.40625	14408575.8297099	7499630.49489944	2.09	0.003922241953118
A8MSF9	AT4G28250	33095784.7377882	35168104.1951945	45237296.8651658	12710757.375	10503587.4554435	27755149.8571912	-1.47	0.003926744930949
Q9M7K4	AT4G13420	14013630.0240892	810594.28216127	606677.452417505	5955062.34375	6471102.26414216	4390844.70722546	2.88	0.003935022909741
Q9FDZ5	AT1G34020	6618639.29088944	10442163.627401	479265.133095244	477069.59375	5578684.8430321	1478277.04687332	-2.16	0.004145139450527
P0CB23	AT4G38062	22034147.0045329	17724089.7469231	20461610.8434299	3571913.03125	6070569.99740845	9333857.88972884	-1.75	0.004244011133617
Q9FEA2	AT5G64050	2681773.08067546	3607090.70469118	2223749.52109509	8672002.125	15921993.5284659	11550109.8949973	2.11	0.004465901861154
Q9LPL6	AT1G21380	25065443.7913203	14171596.2066079	27034593.9593697	9392003.59375	6788748.78081498	8442134.05767643	-1.57	0.004497944532562
Q9S9N4	AT1G16010	2234819.79359398	1542770.76268806	1003184.04552161	8350381.125	8893031.31676627	9251100.9508057	2.53	0.004664601040476
O80823	AT2G45970	234065.602175368	0	313969.568819803	4001852.25	3254977.22158262	1615740.34237167	3.59	0.004750853290361
F4K4E3	AT5G27720	65510556.1798807	92512027.7822486	96238540.2439717	44626138.1875	36224886.2782132	31152906.8488689	-1.35	0.004841378757073
Q3MKM6	AT4G21130	123644.957075568	194245.228838892	193981.158659583	1433573.59375	2415299.79455934	1859046.4344461	3.26	0.004904172610716
Q7PC85	AT3G30842	3775856.77625597	9753806.23152769	25427660.6973029	3741093.5	1867360.06907488	1519706.15152902	-2.38	0.004934591169591
Q6ICY4	AT3G12100	8743384.39931492	12710521.4239755	9938102.4247829	2168722.625	1988114.90278004	2078166.00132461	-2.26	0.00501484887938
Q9SSK5	AT1G70890	266148.733641511	738430.899170393	187088.634978933	2320658.8125	2311811.96799037	3411870.20782971	3.12	0.005058386517011
Q9XGW1	AT5G43810	301512.96401219	287273.591252744	5058988.40215992	3114600.9375	2651381.76299709	2798486.72270763	3.21	0.005075660779334
F4IB95	AT1G52060	15411193.7435586	19772073.4033368	40215770.3709764	75984556.59375	70575414.2976289	26256950.6658982	1.84	0.00528294647847
Q9M386		13240045.3106894	14536697.7425916	14361326.44302	51487640.4375	45142296.8000424	48240732.4675868	1.75	0.0053458848438
C0LGQ9	AT4G20940	3384259.04323946	5040446.78973211	4857470.07403916	1105171.0625	852733.412155305	3076774.13284411	-2.14	0.005392432637446
F4HW04	AT1G08260	7670098.5330373	3239113.50233246	4942161.74349569	14238984.3125	21960276.5099753	25952651.0300951	2.15	0.005528889882862
A0A2H1ZE60	AT5G04270	34643061.5207475	6346613.22074954	1279585.26375853	1776570.9375	1471493.00210108	503236.619680298	-2.11	0.005644534288673
F4JLJ2	AT4G10060	156621.906715672	812429.274168946	562957.203565165	0	0	72750.0184597728	-2.95	0.005680782834168
Q66GM8	AT5G26670	6076877.99335238	5845421.62891184	1940184.03721765	1277178.74609375	26798599.8211813	1016373.03389521	-2.19	0.005975493060174
Q9FY64	AT5G09510	11552847.6785789	11482779.3755399	9376934.68665374	4879155.5	3531944.06458676	3499818.7821039	-1.7	0.00605923218469
O23180	AT4G37060	18257019.1189172	12720713.0455965	18392624.9989787	53735497.6875	63232906.2064924	60527012.4799649	1.73	0.006094861517269
F4IIU4	AT2G34680	191866987.899239	175033604.594824	162473725.725191	404146380.515625	425441573.277702	443212720.708604	1.28	0.006427760446137
A8MQN4	AT1G53710	4862454.98911936	3384624.06248913	16696305.2428359	22336482.3515625	22203544.2372902	5761446.371594	2.19	0.006545104307407
Q9SLM4	AT2G40980	43672256.770731	26095997.8014485	39801640.7669506	104188512.8125	128092752.255272	157027884.097924	1.69	0.006590634983697
O81816	AT4G38540	40687848.3030453	43556775.6198368	73657335.7687447	136692208	183029798.70245	112932915.905506	1.65	0.006598952121557
P02663		70131712.2879104	45962273.2417005	23818198.1916737	18928914.375	10764378.4829725	23197546.9770167	-1.28	0.006761053649714
P0C1T5	AT5G09978	207854557.606087	205562164.079583	126670358.905538	101782044	86577330.8538334	84452263.4782145	-1.25	0.006894667896569
F4K5T4	AT5G28040	4505577.34037616	2699599.83521672	9497360.25634711	5842452.03125	849372.944057904	176166.49374067	-2.41	0.007006178750288
Q9SIL7	AT2G20520	113559.830238796	355067.550169459	1198421.25459321	4195627.953125	73350.0456212975	3728306.13067281	3.39	0.007089935019855
O22224	AT2G41620	26732088.6231831	24351732.1155175	40427286.2456027	65194173.9589844	95320513.4002227	82350356.1371718	1.62	0.007257960091153
Q9LSM3	AT5G65520	2890221.98230799	2830799.73260891	6264625.96144202	11179853.28125	12934448.2949616	11835694.0919113	2.03	0.007379184719732
Q29Q26	AT2G17390	27965407.6733358	20363091.4062174	21210969.7310678	8647364.5	4951882.30022607	6978156.71455702	-1.6	0.007407640866079
Q9SZR6	AT4G29960	466558.170644332	324770.890568813	333515.522085264	3712351.4375	2596524.08732441	2943135.53520822	3.14	0.007664875592224
Q9SKL6	AT2G15220	123836.015577199	285661.286227138	1342603.82227169	3040179.1875	2552310.97416965	523950.417702353	3.16	0.007711151950632
F4IYR7	AT3G15410	3929604.08607239	3933680.13941291	12180674.8499652	14911693.03125	14085242.8417935	18201729.8551763	1.92	0.007739747391125
F4J043	AT3G15880	806238.653161154	2246096.26157985	687043.634597451	3147275.03125	5671691.31773293	6119067.55523872	2.81	0.007841753719562
Q9C5U2	AT5G35750	2635694.74030856	395506.180896503	479274.374410535	5370254.71875	4054089.60727377	3916432.11377989	3.08	0.008023461107253
F4IHR4	AT2G28210	408000.220543065	880026.544908048	30409671.3470115	653724.15625	5811005.58095686	34371844.085843	2.72	0.00812467802664
A0A1P8BDS3	AT5G44480	52939721.5679918	33309062.9684108	466530018.08616	137351254.8125	150494051.472142	446967241.968367	1.51	0.008131056204065
P56795	ATCG00810	4475343.00883873	5791406.96413878	3099264.44119169	5636014.71875	20307493.1784229	19112822.9641832	2.09	0.008364180442923
F4KGW0	AT5G10480	32921812.4817	31113844.9227765	32279021.3921727	65903536	97456297.0825655	95604399.7790688	1.57	0.008411050204705
Q9SYZ9	AT4G34340	1322314.35429883	1609627.75357968	924969.47405216	158038.21875	224317.417478497	0	-2.81	0.008419548794792
Q9ASU6		22273712.7225175	30740570.7980219	28215602.7828633	10886738.625	10041821.054642	11825777.6301198	-1.37	0.008608030747069
Q9M1Q4		51530.0014954416	566025.550757461	30953.3840927596	71492.1015625	851389.230117449	396075.195033574	2.94	0.008694629643067
Q8VYK6	AT5G58420	55523049.0503195	51914019.6174318	30626718.1192832	26043448.125	20853871.1510123	20846577.7748492	-1.32	0.008754858152019
