intersections	protein
rbohF	Q8LBU2
rbohF	F4J4N3
rbohF	Q8LB54
rbohF	Q84P17
rbohF	Q9FMA0
WT	Q94A84
WT	O64862
WT	F4IDB3
WT	Q6NQK0
WT	Q9M8K3
WT	Q8W5R6
WT	A0A1P8AS27
WT	Q84MA9
WT	Q9SJ91
WT	Q9SW40
WT	O82330
WT	A0A1P8B3K8
WT	F4K3R8
WT	Q8L466
WT	Q9LFG1
WT	A0A1P8B6J9
WT	Q56YA5
WT	F4IUD7
WT	Q9FJK7
WT	O23339
WT	Q941F1
WT	Q9C7X7
WT	Q9M0A0
WT	A0A1I9LPI4
WT	Q9SKI2
WT	Q84JF7
WT	A0A2H1ZE50
WT	O65398
WT	A0A1P8ATB0
WT	Q9LQZ4
WT	F4IB81
WT	Q2V3E2
WT	Q9SSQ9
WT	F4IWW1
WT	Q9SRE4
WT	A0A1I9LPC2
WT	O82221
WT	Q9SJW6
WT	A0A1P8AXX8
WT	Q8GYC1
WT	Q9FXA2
WT	Q9FLB4
WT	Q681W7
WT	A0A1P8B863
WT	Q39230
WT	Q42534
WT	F4I270
WT	Q9C7H2
WT	Q9LU74
WT	F4K1S1
WT	Q93V58
WT	Q9ZPS9
WT	A8MRF3
WT	F4JV35
WT	Q93ZR3
WT	A9X4U2
WT	A0A1I9LQT2
WT	F4JXW2
WT	Q9SI49
WT	Q8VZL1
WT	Q9SVC2
WT	F4I600
WT	F4K2Y3
WT	Q9FR95
WT	Q9LUJ5
WT	Q84JE8
WT	F4ITL6
WT	Q94AM8
WT	Q93ZI1
WT	Q7X6P3
WT	C0LGJ9
WT	Q4V3A2
WT	F4HUA0
WT	Q9LMS7
WT	P93031
WT	F4INU4
WT	F4ITF9
WT	Q9LZQ9
WT	O82647
WT	Q9LU41
WT	Q14525
WT	Q7XA68
WT	Q9M393
WT	O76011
WT	Q9XI07
WT	Q8LG05
WT	Q9ZW84
WT	Q84WW2
WT	Q9SYQ8
WT	Q9LJX4
WT	F4I962
WT	Q9XI90
WT	Q9CAV7
WT	Q941R6
WT	Q43729
WT	A0A1I9LN01
WT	F4JNM2
WT	F4IAN4
WT	Q8VZ80
WT	Q9FLD3
WT	C0SUW7
WT	Q8LAD0
WT	Q9CAT7
WT	O49213
WT	F4IE35
WT	F4HTI1
WT	Q9LM76
WT	Q9M314
WT	Q9SZV3
WT	Q3EBD3
WT	Q8VYA5
WT	Q0WW84
WT	Q9FKS8
WT	A8MSF9
WT	Q9FDZ5
WT	P0CB23
WT	Q9LPL6
WT	Q6ICY4
WT	C0LGQ9
WT	A0A2H1ZE60
WT	F4JLJ2
WT	Q66GM8
WT	Q9FY64
WT	P0C1T5
WT	F4K5T4
WT	Q29Q26
WT	Q9SYZ9
WT	Q9ASU6
WT	Q8VYK6
WT	F4JKM2
WT	A0A1R7T3D6
WT	B3LF89
WT	Q945K9
WT	Q84P25
WT	Q39199
WT	O49570
WT	Q9ZUN4
WT	P60112
WT	F4IZ80
WT	Q9SV21
WT	O23006
WT	Q9SU63
WT	Q9XF67
WT	Q8W5S1
WT	Q9LM13
WT	Q9SVZ8
WT	Q9FMG4
WT	Q9C587
WT	Q7Y1W1
WT	Q9C9Z9
WT	Q8VY59
WT	Q9FKM8
WT	Q8GWQ6
WT	P93017
WT	Q9FX97
WT	P48421
WT	A0A1P8AXC4
WT	Q9SA18
WT	Q39163
WT	Q9SN38
WT	F4HSX1
WT	Q9FNL3
WT	Q8LG42
WT	Q9C8H0
WT	A0A1P8BCS7
WT	Q0WPQ2
WT	Q9SDA2
WT	Q9SGN8
WT	Q9SD86
WT	F4IQ05
WT	Q9FJJ5
WT	Q5XF81
WT	Q944H0
WT	P14891
WT	Q9T051
WT	O80946
WT	Q9M2H7
WT	A0A1P8BEG1
WT	Q9FE78
WT	F4J3F3
