intersections	protein
WT	Q9FRK5
WT	A0A1I9LTA1
WT	Q9LTC9
WT	Q9ZSU4
WT	Q9SF34
WT	Q9FI39
WT	Q9STM3
WT	A8MQE3
WT	Q9LVW7
WT	Q7PC79
WT	Q9M028
WT	Q84TF0
WT	Q8GX94
WT	Q96291
WT	Q9LIB3
WT	F4HRS2
WT	Q9XES1
WT	O22939
WT	Q9LUD2
WT	Q9FFW8
WT	Q9LVA4
WT	Q8GYM6
WT	Q9SAE3
WT	Q9SH30
WT	Q9ZVA2
WT	Q9LEX5
WT	Q84VX7
WT	O80585
WT	Q9LTS6
WT	Q9SU83
WT	Q8L8V4
WT	Q9CAF9
WT	O23238
WT	Q8VZF6
WT	F4K0R0
WT	Q945L0
WT	Q9LRJ9
WT	F4IM56
WT	Q9LXZ4
WT	Q9XHZ8
WT	Q84JU6
WT	Q9SS48
WT	F4J0D2
WT	O04308
WT	Q9SB33
WT	F4IDB2
WT	Q9SVV9
WT	Q9FEA2
WT	Q9S9N4
WT	Q3MKM6
WT	Q9SSK5
WT	Q9XGW1
WT	F4IB95
WT	Q9M386
WT	F4HW04
WT	O23180
WT	F4IIU4
WT	A8MQN4
WT	Q9SLM4
WT	O81816
WT	Q9SIL7
WT	O22224
WT	Q9LSM3
WT	Q9SZR6
WT	Q9SKL6
WT	F4IYR7
WT	F4J043
WT	P56795
WT	F4KGW0
WT	Q8RWH9
WT	Q0WTF4
WT	Q9SQG2
WT	Q9LYS2
WT	Q9LTI3
WT	Q9SJM7
WT	Q147R7
WT	Q9SRM4
WT	Q9LDA4
WT	A0A1P8B454
WT	P37106
WT	F4K6N3
WT	Q8RX67
WT	Q9M214
WT	Q9M8U2
WT	Q9FNZ1
WT	Q8RXL8
WT	Q9FZ27
WT	F4JJ27
WT	Q9M1Q9
WT	A0A1P8B1L7
WT	Q94A05
WT	Q9FIJ0
WT	Q8RY80
WT	F4J298
WT	O24658
WT	Q8RWV9
WT	Q8W4I4
WT	Q9SGP9
WT	Q9M146
WT	Q9ZPX1
WT	Q42602
WT	A0A1P8B8H5
WT	Q9FII7
WT	Q9C5E7
WT	Q9LIG9
WT	Q9ASS7
WT	Q8GYC5
WT	O82264
WT	F4I259
WT	Q9FGV4
WT	Q84WU8
WT	Q9LX15
WT	F4HV06
WT	Q0WPK4
WT	Q9STY7
WT	Q42342
WT	Q9SZR1
WT	C0LGU1
WT	A0A1P8B591
WT	Q9SA87
WT	F4J381
WT	Q67YL8
