intersections	protein
rbohF	Q8GUH1
rbohF	Q9LFX3
rbohF	F4IXH3
rbohF	Q8LPL2
rbohF	F4I3G8
rbohF	Q8VYR3
rbohF	Q8LBL1
rbohF	Q9C9U9
rbohF	Q9ZUL7
rbohF	P21276
rbohF	Q9CA57
rbohF	F4K6B8
rbohF	Q9FWS4
rbohF	Q9CAX3
rbohF	Q94AS5
rbohF	Q96330
rbohF	Q9FE06
rbohF	Q9LTT3
rbohF	Q39100
rbohF	Q9SLK0
rbohF	Q9LTD8
rbohF	Q6R8G7
rbohF	Q39034
rbohF	Q1ECK0
rbohF	Q8S8P5
rbohF	A8MRY1
rbohF	Q9M123
rbohF	O64635
rbohF	O80866
rbohF	A0A1P8B9D5
rbohF	Q8LEZ4
rbohF	F4JD91
rbohF	Q9SFF6
rbohF	Q9ZQH0
rbohF	Q9SAC9
rbohF	Q9CA59
rbohF	Q8LAH7
rbohF	A0A1P8AYN1
rbohF	F4I4K5
rbohF	O82656
rbohF	Q9LUC6
rbohF	Q8S8Q6
rbohF	Q8GWB7
rbohF	Q8GUK1
rbohF	Q39214
rbohF	A0A1P8B6W3
rbohF	A0A1P8ARJ0
rbohF	P02668
rbohF	Q9FJY1
rbohF	Q9FXB8
rbohF	Q9LE15
rbohF	Q39141
rbohF	A0A1P8AMC6
rbohF	A0A1P8B2C7
rbohF	O49394
rbohF	Q2V3L3
rbohF	Q66GR1
rbohF	O04086
rbohF	Q9LZ25
rbohF	P56764
rbohF	Q9LEQ9
rbohF	Q9FUS6
rbohF	A0A1P8B5L5
rbohF	Q8L850
rbohF	Q8W103
rbohF	Q9M1J6
rbohF	Q9LDI9
rbohF	Q9SU64
rbohF	Q9SJ52
rbohF	Q8RY60
rbohF	P04745
rbohF	O80358
rbohF	Q9T0K0
rbohF	A2RVT9
rbohF	A0A1P8BAN2
rbohF	Q9M076
rbohF	Q9C801
rbohF	Q9FPF0
rbohF	A0A1P8B6F8
rbohF	F4JSQ2
rbohF	Q6BDA0
rbohF	Q96287
rbohF	Q8L6X7
rbohF	Q9LZN2
rbohF	F4IBK9
rbohF	F4J3Q1
rbohF	Q9LEY1
rbohF	F4JY12
rbohF	Q8GUI9
rbohF	P50546
rbohF	F4I321
rbohF	F4HWL3
rbohF	Q9SCW1
rbohF	Q8W1Y0
rbohF	Q9M1V2
rbohF	Q93V74
rbohF	Q93VS6
rbohF	Q8GWR0
rbohF	F4JN35
rbohF	P56797
rbohF	Q8LAS8
rbohF	Q8W4D0
rbohF	Q39211
rbohF	A0A1P8B7U8
rbohF	F4KIZ2
rbohF	Q9S7U7
rbohF	Q9C5H9
rbohF	A0A1P8BD18
rbohF	F4JD14
rbohF	O49617
rbohF	Q8LBU2
rbohF	Q84K90
rbohF	Q8W110
rbohF	Q9LK64
rbohF	Q96520
rbohF	F4J4N3
rbohF	Q8LB54
rbohF	Q84P17
rbohF	Q0WQH3
rbohF	Q0WNY5
rbohF	Q9LFR9
rbohF	Q38893
rbohF	Q9FMA0
rbohF	O23482
rbohF	Q9SAF0
rbohF	Q8RWM9
rbohF	Q9LX13
rbohF	Q84MC9
rbohF	Q9FLW0
WT	Q94A84
WT	P25857
WT	O64862
WT	F4K5W3
WT	P92979
WT	F4IDB3
WT	Q6NQK0
WT	Q9M8K3
WT	F4JHN2
WT	A8MRW6
WT	Q9CAD8
WT	Q8W5R6
WT	A0A1P8AS27
WT	Q84MA9
WT	Q9SJP6
WT	F4J750
WT	Q9SJ91
WT	Q9FHN6
WT	Q9SW40
WT	Q8L7U5
WT	Q8L748
WT	O82330
WT	Q9M2X5
WT	Q8LAZ7
WT	F4K3R8
WT	Q9C9Q5
WT	Q8L466
WT	F4ISB3
WT	A0A1P8B6J9
WT	Q56YA5
WT	F4IUD7
WT	Q9M1C9
WT	Q7Y232
WT	Q9FJK7
WT	O23339
WT	A0A1P8B4R8
WT	Q9SB75
WT	Q941F1
WT	B6ETT4
WT	Q8VXY1
WT	Q9LZ83
WT	Q9C7X7
WT	Q9M0A0
WT	A0A1I9LPI4
WT	Q9SKI2
WT	Q84JF7
WT	Q8GXA4
WT	Q9LUZ6
WT	O65398
WT	F4ICG2
WT	A0A1P8ATB0
WT	Q9LQZ4
WT	F4IB81
WT	A0A1P8AY74
WT	Q9LIM8
WT	Q2V3E2
WT	Q9SSQ9
WT	F4IWW1
WT	F4HX45
WT	F4JTF6
WT	Q9ZQR4
WT	Q9SRE4
WT	Q6NPS1
WT	A0A1I9LPC2
WT	Q058G5
WT	Q9SUT5
WT	A0A1P8ATC6
WT	O82221
WT	Q9SJW6
WT	Q39162
WT	Q9LR65
WT	A0A1P8AXX8
WT	Q9FIC6
WT	Q8L831
WT	Q8GYC1
WT	Q9FXA2
WT	Q84VZ5
WT	Q9C5L6
WT	Q9FLB4
WT	Q38903
WT	Q681W7
WT	A0A1P8B863
WT	Q39230
WT	Q42534
WT	Q93YQ5
WT	F4I270
WT	Q9C7H2
WT	Q8VWF5
WT	A0A1P8B137
WT	Q9LU74
WT	F4K1S1
WT	Q941R7
WT	O82251
WT	Q93V58
WT	Q9ZPS9
WT	Q7XA86
WT	A8MRF3
WT	F4JV35
WT	Q93ZR3
WT	A9X4U2
WT	Q9LHN8
WT	A0A1I9LQT2
WT	F4JXW2
WT	Q93Z53
WT	A0A2H1ZEG1
WT	A0A1P8AVK4
WT	Q9SI49
WT	O22823
WT	Q4PSF4
WT	Q8VZL1
WT	Q9FFG5
WT	Q8RWY3
WT	Q8VY01
WT	Q9SVC2
WT	F4I600
WT	Q9LUE5
WT	F4K2Y3
WT	Q5XV72
WT	Q9FR95
WT	Q94AL6
WT	Q9SCQ4
WT	Q9LUJ5
WT	Q9FHA3
WT	F4ITL6
WT	Q9FKA4
WT	Q94AM8
WT	Q9SIU2
WT	F4I7I0
WT	Q93ZI1
WT	O80625
WT	A0A1P8AR36
WT	Q7X6P3
WT	Q93V62
WT	C0LGJ9
WT	F4JU09
WT	Q94AI6
WT	Q4V3A2
WT	Q6DST1
WT	Q9FKM2
WT	F4HUA0
WT	Q9XIG1
WT	Q9LMS7
WT	Q9ZUW8
WT	O22287
WT	B3H7F6
WT	P93031
WT	A0A1P8ASX9
WT	F4INU4
WT	F4HY56
WT	F4ITF9
WT	O23156
WT	Q9LPU6
WT	Q9LZQ9
WT	O82647
WT	Q9LU41
WT	Q14525
WT	Q8GZ87
WT	Q9SD05
WT	Q9FRK5
WT	A0A1I9LTA1
WT	Q9LTC9
WT	Q9ZSU4
WT	Q7XA68
WT	Q9M393
WT	O76011
WT	Q9SF34
WT	Q9FI39
WT	Q9STM3
WT	A8MQE3
WT	Q9LVW7
