intersections	protein
rbohF - WT (CTRL)	Q7XA86
rbohF - WT (CTRL)	O22287
rbohF - WT (CTRL)	Q5XV72
rbohF - WT (CTRL)	Q9LHN8
rbohF - WT (CTRL)	Q9SVC2
rbohF - WT (CTRL)	Q8GZ87
rbohF - WT (CTRL)	Q9SIL6
rbohF - WT (CTRL)	Q9SLE0
rbohF - WT (CTRL)	Q9MAB2
rbohF - WT (CTRL)	Q8RWY3
rbohF - WT (CTRL)	Q42534
rbohF - WT (CTRL)	F4K2Y3
rbohF - WT (CTRL)	A0A1P8ARR3
rbohF - WT (CTRL)	Q8H1F1
rbohF - WT (CTRL)	A0A1P8ASX9
rbohF - WT (CTRL)	P17597
rbohF - WT (CTRL)	Q9FR95
rbohF - WT (CTRL)	Q9FIJ0
rbohF - WT (CTRL)	Q93YQ5
rbohF - WT (CTRL)	Q9LFT3
rbohF - WT (CTRL)	Q681W7
rbohF - WT (CTRL)	Q9ZPS9
rbohF - WT (CTRL)	Q7PC79
rbohF - WT (CTRL)	Q6DST1
rbohF - WT (CTRL)	O80585
rbohF - WT (CTRL)	Q9LMK7
rbohF - WT (CTRL)	Q9FGZ3
rbohF - WT (CTRL)	Q9XES1
rbohF - WT (CTRL)	Q4PSX0
rbohF - WT (CTRL)	Q9XI07
rbohF - WT (CTRL)	Q9SU83
rbohF - WT (CTRL)	Q9LJX4
rbohF - WT (CTRL)	Q94AI6
rbohF - WT (CTRL)	Q9XIG1
rbohF - WT (CTRL)	A0A1P8AUA2
rbohF - WT (CTRL)	B9DFZ2
rbohF - WT (CTRL)	A0A1P8B454
rbohF - WT (CTRL)	Q9LUJ5
rbohF - WT (CTRL)	Q9SI20
rbohF - WT (CTRL)	O80625
rbohF - WT (CTRL)	F4K4D6
rbohF - WT (CTRL)	P93031
rbohF - WT (CTRL)	Q9LU41
rbohF - WT (CTRL)	P49077
rbohF - WT (CTRL)	Q9LTS6
rbohF - WT (CTRL)	C0LGJ9
rbohF - WT (CTRL)	F4IQ05
rbohF - WT (CTRL)	Q9LPL6
rbohF - WT (CTRL)	Q9C586
rbohF - WT (CTRL)	Q9C587
rbohF - WT (CTRL)	Q7X6P3
rbohF - WT (CTRL)	Q9FRK5
rbohF - WT (CTRL)	Q8GXY6
rbohF - WT (CTRL)	Q0WTB4
rbohF - WT (CTRL)	F4IIU4
rbohF - WT (CTRL)	Q84VX7
rbohF - WT (CTRL)	Q9LZV3
rbohF - WT (CTRL)	Q84P25
rbohF - WT (CTRL)	Q9SW17
rbohF - WT (CTRL)	Q84JU6
rbohF - WT (CTRL)	F4HRW3
rbohF - WT (CTRL)	Q9ZSU4
rbohF - WT (CTRL)	O48574
rbohF - WT (CTRL)	Q8GXA4
rbohF - WT (CTRL)	Q9LU97
rbohF - WT (CTRL)	Q8VZ80
rbohF - WT (CTRL)	F4JKM2
rbohF - WT (CTRL)	Q6ICY4
rbohF - WT (CTRL)	Q9SR33
rbohF - WT (CTRL)	Q96329
rbohF - WT (CTRL)	Q9ZUW8
rbohF - WT (CTRL)	A0A1R7T3D6
rbohF - WT (CTRL)	A0A2H1ZE60
rbohF - WT (CTRL)	Q9LUE5
rbohF - WT (CTRL)	F4IYR7
rbohF - WT (CTRL)	Q8RX89
rbohF - WT (CTRL)	F4JTY7
rbohF - WT (CTRL)	Q9FFK1
rbohF - WT (CTRL)	Q9FII8
rbohF - WT (CTRL)	Q67ZE1
rbohF - WT (CTRL)	Q9FNZ1
rbohF - WT (CTRL)	Q9M1E5
rbohF - WT (CTRL)	Q9SSK5
rbohF - WT (CTRL)	Q9LVA4
rbohF - WT (CTRL)	F4I962
rbohF - WT (CTRL)	Q8W5R6
rbohF - WT (CTRL)	O23254
rbohF - WT (CTRL)	Q9XHZ8
rbohF - WT (CTRL)	Q8L8V4
rbohF - WT (CTRL)	Q9LM76
rbohF - WT (CTRL)	Q7XA68
rbohF - WT (CTRL)	Q9FHI7
rbohF - WT (CTRL)	Q9XGX9
rbohF - WT (CTRL)	Q9LSM3
rbohF - WT (CTRL)	Q0WW84
rbohF - WT (CTRL)	B3H7F6
rbohF - WT (CTRL)	Q7Y030
rbohF - WT (CTRL)	Q9CAT7
rbohF - WT (CTRL)	F4INU4
rbohF - WT (CTRL)	Q9SL02
rbohF - WT (CTRL)	O49629
rbohF - WT (CTRL)	O82629
rbohF - WT (CTRL)	Q9M9V4
rbohF - WT (CTRL)	O81126
rbohF - WT (CTRL)	O22151
rbohF - WT (CTRL)	O23180
rbohF - WT (CTRL)	Q8RWH9
rbohF - WT (CTRL)	Q94BZ1
rbohF - WT (CTRL)	Q9SLM4
rbohF - WT (CTRL)	Q9M386
rbohF - WT (CTRL)	O22854
rbohF - WT (CTRL)	A0A1P8AX84
rbohF - WT (CTRL)	Q9FZ27
rbohF - WT (CTRL)	O22141
rbohF - WT (CTRL)	Q0WTF4
rbohF - WT (CTRL)	Q9M314
rbohF - WT (CTRL)	O22911
rbohF - WT (CTRL)	P54967
rbohF - WT (CTRL)	Q9STT2
rbohF - WT (CTRL)	Q9LIB3
rbohF - WT (CTRL)	F4JNM2
rbohF - WT (CTRL)	A8MQR2
rbohF - WT (CTRL)	Q9M0X9
rbohF - WT (CTRL)	Q94AM1
rbohF - WT (CTRL)	O04308
rbohF - WT (CTRL)	Q9C9Z9
rbohF - WT (CTRL)	Q9LUR4
rbohF - WT (CTRL)	Q9FJB4
rbohF - WT (CTRL)	Q9SRM4
rbohF - WT (CTRL)	Q9FFW8
rbohF - WT (CTRL)	Q9XIB3
rbohF - WT (CTRL)	Q9LZ26
rbohF - WT (CTRL)	P93655
rbohF - WT (CTRL)	F4HY56
rbohF - WT (CTRL)	Q9SQG2
rbohF - WT (CTRL)	Q8RX67
rbohF - WT (CTRL)	Q9S9N4
rbohF - WT (CTRL)	Q8GWW8
rbohF - WT (CTRL)	O23238
rbohF - WT (CTRL)	Q29Q26
rbohF - WT (CTRL)	P0CB23
rbohF - WT (CTRL)	F4KGW0
rbohF - WT (CTRL)	Q9SKE2
rbohF - WT (CTRL)	Q9ZW09
rbohF - WT (CTRL)	Q9LZF1
rbohF - WT (CTRL)	Q5XEN3
rbohF - WT (CTRL)	F4HSX1
rbohF - WT (CTRL)	F4I576
rbohF - WT (CTRL)	Q9SZE4
rbohF - WT (CTRL)	Q38950
